410000  河南省	1
410225102000	南彰镇	4
410225103000	考城镇	4
410225104000	红庙镇	4
410225105000	谷营镇	4
410225106000	东坝头镇	4
410225107000	小宋镇	4
410225201000	三义寨乡	4
410225206000	孟寨乡	4
410225207000	许河乡	4
410225208000	葡萄架乡	4
410225209000	阎楼乡	4
410225210000	仪封乡	4
410225400000	中原石油勘探三公司	4
410225401000	仪封园艺场	4
410225402000	造纸林场	4
410225403000	柳林林场	4
410225404000	西关农场	4
410225405000	畜牧良种农场	4
410225406000	固阳农科所	4
410300000000	洛阳市	2
410301000000	市辖区	3
410302000000	老城区	3
410302001000	西关街道	4
410302002000	西南隅街道	4
410302003000	西北隅街道	4
410302004000	东南隅街道	4
410302005000	东北隅街道	4
410302006000	南关街道	4
410302007000	洛浦街道	4
410302008000	邙山街道	4
410302009000	道北路街道	4
410303000000	西工区	3
410303001000	王城路街道	4
410303002000	金谷园路街道	4
410303003000	西工街道	4
410303004000	邙岭路街道	4
410303006000	唐宫路街道	4
410303007000	汉屯路街道	4
410303008000	凯旋东路街道	4
410303009000	洛北街道	4
410303010000	红山街道	4
410304000000	瀍河回族区	3
410304001000	东关街道	4
410304002000	瀍西街道	4
410304003000	五股路街道	4
410304004000	北窑街道	4
410304005000	塔湾街道	4
410304006000	杨文街道	4
410304007000	华林街道	4
410304200000	瀍河回族乡	4
410305000000	涧西区	3
410305001000	湖北路街道	4
410305002000	天津路街道	4
410305003000	长春路街道	4
410305004000	南昌路街道	4
410305005000	长安路街道	4
410305006000	重庆路街道	4
410305007000	郑州路街道	4
410305008000	武汉路街道	4
410305009000	徐家营街道	4
410305010000	珠江路街道	4
410305011000	周山路街道	4
410305012000	工农街道	4
410306000000	吉利区	3
410306002000	西霞院街道	4
410306003000	康乐街道	4
410306004000	吉利街道	4
410306005000	河阳街道	4
410311000000	洛龙区	3
410311002000	开元路街道	4
410311003000	龙门石窟街道	4
410311004000	关林街道	4
410311005000	太康东路街道	4
410311006000	古城街道	4
410311007000	科技园街道	4
410311008000	翠云路街道	4
410311009000	龙门街道	4
410311010000	学府街道	4
410311011000	定鼎门街道	4
410311102000	安乐镇	4
410311103000	白马寺镇	4
410311107000	李楼镇	4
410311108000	丰李镇	4
410311194000	寇店镇	4
410311195000	诸葛镇	4
410311196000	李村镇	4
410311197000	庞村镇	4
410311199000	佃庄镇	4
410322000000	孟津县	3
410322100000	城关镇	4
410322101000	会盟镇	4
410322102000	平乐镇	4
410322103000	送庄镇	4
410322104000	白鹤镇	4
410322105000	朝阳镇	4
410322106000	小浪底镇	4
410322107000	麻屯镇	4
410322108000	横水镇	4
410322109000	常袋镇	4
410323000000	新安县	3
410323100000	城关镇	4
410323101000	石寺镇	4
410323102000	五头镇	4
410323103000	磁涧镇	4
410323104000	铁门镇	4
410323105000	南李村镇	4
410323106000	北冶镇	4
410323107000	仓头镇	4
410323108000	正村镇	4
410323109000	石井镇	4
410323110000	青要山镇	4
410324000000	栾川县	3
410324100000	城关镇	4
410324101000	赤土店镇	4
410324102000	合峪镇	4
410324103000	潭头镇	4
410324104000	三川镇	4
410324105000	冷水镇	4
410324106000	陶湾镇	4
410324107000	石庙镇	4
410324108000	庙子镇	4
410324109000	狮子庙镇	4
