360000  江西省	1
360430106000	杨梓镇	4
360430107000	东升镇	4
360430108000	瀼溪镇	4
360430109000	黄花镇	4
360430200000	太平关乡	4
360430201000	黄岭乡	4
360430202000	浩山乡	4
360430403000	建筑材料厂	4
360430404000	水产养殖场	4
360430500000	太泊湖农业综合开发区	4
360430501000	上十岭综合垦殖场	4
360430502000	芙蓉农场	4
360430503000	棉科所	4
360430504000	棉花原种场国营分场	4
360430505000	太泊湖水产养殖场	4
360430506000	黄乐林场	4
360481000000	瑞昌市	3
360481001000	湓城街道	4
360481002000	桂林街道	4
360481100000	码头镇	4
360481101000	白杨镇	4
360481102000	南义镇	4
360481103000	横港镇	4
360481104000	范镇	4
360481105000	肇陈镇	4
360481106000	高丰镇	4
360481107000	夏畈镇	4
360481200000	乐园乡	4
360481201000	洪一乡	4
360481202000	花园乡	4
360481203000	洪下乡	4
360481204000	武蛟乡	4
360481205000	横立山乡	4
360481206000	黄金乡	4
360481207000	南阳乡	4
360481500000	赛湖农场	4
360481501000	青山林场	4
360481502000	瑞昌市大德山林场	4
360482000000	共青城市	3
360482001000	茶山街道	4
360482100000	甘露镇	4
360482101000	江益镇	4
360482200000	金湖乡	4
360482201000	苏家垱乡	4
360482202000	泽泉乡	4
360483000000	庐山市	3
360483100000	南康镇	4
360483101000	白鹿镇	4
360483102000	温泉镇	4
360483103000	星子镇	4
360483104000	华林镇	4
360483105000	蛟塘镇	4
360483106000	横塘镇	4
360483107000	牯岭镇	4
360483108000	海会镇	4
360483200000	蓼南乡	4
360483401000	东牯山林场	4
360483500000	沙湖山管理处	4
360500000000	新余市	2
360501000000	市辖区	3
360502000000	渝水区	3
360502001000	城南街道	4
360502002000	城北街道	4
360502003000	袁河街道	4
360502004000	新钢街道	4
360502100000	水北镇	4
360502101000	下村镇	4
360502102000	良山镇	4
360502103000	罗坊镇	4
360502104000	姚圩镇	4
360502105000	珠珊镇	4
360502170000	河下镇	4
360502180000	观巢镇	4
360502181000	欧里镇	4
360502190000	水西镇	4
360502200000	鹄山乡	4
360502201000	人和乡	4
360502202000	界水乡	4
360502203000	南安乡	4
360502204000	新溪乡	4
360502271000	九龙山乡	4
360521000000	分宜县	3
360521001000	钤东街道	4
360521002000	钤西街道	4
360521100000	分宜镇	4
360521101000	杨桥镇	4
360521102000	湖泽镇	4
360521103000	双林镇	4
360521104000	钤山镇	4
360521105000	洋江镇	4
360521106000	凤阳镇	4
360521201000	洞村乡	4
360521202000	高岚乡	4
360521203000	操场乡	4
360521405000	分宜县工业园	4
360521500000	分宜县芳山林场	4
360521501000	年珠林场	4
360521502000	山下林场	4
360521503000	上村林场	4
360521504000	长埠林场	4
360521505000	东坑林场	4
360600000000	鹰潭市	2
360601000000	市辖区	3
360602000000	月湖区	3
360602001000	江边街道	4
360602002000	交通街道	4
360602003000	东湖街道	4
360602004000	梅园街道	4
360602005000	四青街道	4
360602006000	白露街道	4
360602100000	童家镇	4
360602200000	夏埠乡	4
360603000000	余江区	3
360603100000	邓埠镇	4
360603101000	锦江镇	4
360603102000	潢溪镇	4
360603103000	中童镇	4
360603104000	马荃镇	4
360603105000	画桥镇	4
360603106000	春涛镇	4
360603200000	平定乡	4
360603202000	杨溪乡	4
360603203000	洪湖乡	4
360603204000	黄庄乡	4
360603205000	刘家站乡	4
360603408000	余江县工业园区	4
360603409000	鹰潭市龙岗新区	4
360603501000	高公寨营林场	4
360603503000	邓家埠水稻原种场	4
360603504000	余江县水产场	4
360603505000	塘潮源林场	4
360603506000	张公桥农场	4
360603507000	青年综合垦殖场	4
360603508000	大桥农场	4
360681000000	贵溪市	3
360681001000	花园街道	4
360681002000	雄石街道	4
360681003000	东门街道	4
360681100000	泗沥镇	4
360681101000	河潭镇	4
360681102000	周坊镇	4
360681103000	鸿塘镇	4
360681104000	志光镇	4
360681105000	流口镇	4
360681106000	罗河镇	4
360681107000	金屯镇	4
360681108000	塘湾镇	4
360681109000	文坊镇	4
360681110000	冷水镇	4
360681111000	滨江镇	4
360681112000	天禄镇	4
360681113000	雷溪镇	4
360681190000	龙虎山镇	4
360681191000	上清镇	4
360681201000	白田乡	4
360681203000	彭湾乡	4
360681204000	樟坪畲族乡	4
360681205000	耳口乡	4
360681407000	贵溪市工业园区	4
360681408000	江北办事处	4
360681500000	塔桥园艺场	4
360681501000	河潭埠垦殖场	4
360681502000	西窑林场	4
360681503000	双圳林场	4
360681504000	耳口林场	4
360681505000	冷水林场	4
360681506000	三县岭林场	4
360681592000	上清林场（龙虎山风景旅游区管委会）	4
360700000000	赣州市	2
360701000000	市辖区	3
360702000000	章贡区	3
360702001000	解放街道	4
360702002000	赣江街道	4
360702003000	南外街道	4
360702004000	东外街道	4
360702091000	黄金岭街道	4
360702100000	沙石镇	4
360702101000	水东镇	4
360702102000	水南镇	4
360702103000	湖边镇	4
360702104000	沙河镇	4
360702105000	水西镇	4
360702190000	蟠龙镇	4
360702191000	潭口镇	4
360702192000	潭东镇	4
360702400000	赣州经济技术开发区	4
360702401000	沙河工业园	4
360703000000	南康区	3
360703001000	蓉江街道	4
360703002000	东山街道	4
360703100000	唐江镇	4
360703101000	凤岗镇	4
360703103000	龙岭镇	4
360703104000	龙回镇	4
360703105000	镜坝镇	4
360703106000	横市镇	4
360703200000	浮石乡	4
360703201000	赤土畲族乡	4
360703202000	横寨乡	4
360703203000	朱坊乡	4
360703204000	太窝乡	4
360703205000	三江乡	4
360703206000	龙华乡	4
360703207000	十八塘乡	4
360703208000	麻双乡	4
360703209000	大坪乡	4
360703210000	坪市乡	4
360703211000	隆木乡	4
360703400000	南康市工业园	4
360704000000	赣县区	3
360704100000	梅林镇	4
360704101000	王母渡镇	4
360704102000	沙地镇	4
360704103000	江口镇	4
360704104000	田村镇	4
360704105000	南塘镇	4
360704106000	茅店镇	4
360704107000	吉埠镇	4
360704108000	五云镇	4
360704109000	湖江镇	4
360704110000	储潭镇	4
360704111000	韩坊镇	4
360704201000	阳埠乡	4
360704202000	大埠乡	4
360704203000	长洛乡	4
360704204000	大田乡	4
360704207000	石芫乡	4
360704208000	三溪乡	4
360704209000	白鹭乡	4
360704400000	江西赣县经济开发区	4
360722000000	信丰县	3
360722100000	嘉定镇	4
360722101000	大塘埠镇	4
360722102000	古陂镇	4
360722103000	大桥镇	4
360722104000	新田镇	4
360722105000	安西镇	4
360722106000	小江镇	4
360722107000	铁石口镇	4
360722108000	大阿镇	4
360722109000	油山镇	4
360722110000	小河镇	4
360722111000	西牛镇	4
360722112000	正平镇	4
360722200000	虎山乡	4
360722201000	崇仙乡	4
360722202000	万隆乡	4
360722400000	信丰县工业园	4
360723000000	大余县	3
360723100000	南安镇	4
360723101000	新城镇	4
360723102000	樟斗镇	4
360723103000	池江镇	4
360723104000	青龙镇	4
360723105000	左拔镇	4
360723106000	黄龙镇	4
360723107000	吉村镇	4
360723200000	浮江乡	4
360723201000	河洞乡	4
360723202000	内良乡	4
360723400000	新世纪工业园	4
360724000000	上犹县	3
360724100000	东山镇	4
360724101000	陡水镇	4
360724102000	社溪镇	4
360724103000	营前镇	4
360724104000	黄埠镇	4
360724105000	寺下镇	4
360724200000	梅水乡	4
360724201000	油石乡	4
360724202000	安和乡	4
360724204000	双溪乡	4
360724205000	水岩乡	4
360724206000	平富乡	4
360724207000	五指峰乡	4
360724208000	紫阳乡	4
360724400000	上犹县黄埠工业区	4
360725000000	崇义县	3
360725100000	横水镇	4
360725101000	扬眉镇	4
360725102000	过埠镇	4
360725103000	铅厂镇	4
360725104000	长龙镇	4
360725105000	关田镇	4
360725200000	龙勾乡	4
360725201000	杰坝乡	4
360725202000	金坑乡	4
360725203000	思顺乡	4
360725204000	麟潭乡	4
360725205000	上堡乡	4
360725206000	聂都乡	4
360725207000	文英乡	4
360725208000	乐洞乡	4
360725209000	丰州乡	4
360726000000	安远县	3
360726100000	欣山镇	4
360726101000	孔田镇	4
360726102000	版石镇	4
360726103000	天心镇	4
360726104000	龙布镇	4
360726105000	鹤子镇	4
360726106000	三百山镇	4
360726107000	车头镇	4
360726200000	镇岗乡	4
360726201000	凤山乡	4
360726202000	新龙乡	4
360726203000	蔡坊乡	4
