220000  吉林省	1
220702402000	国营善友林场	4
220702403000	国营八家子苗圃	4
220702404000	良种繁育场	4
220702405000	哈达山林场	4
220702406000	雅达虹工业集中区	4
220721000000	前郭尔罗斯蒙古族自治县	3
220721100000	前郭尔罗斯镇	4
220721101000	长山镇	4
220721102000	海渤日戈镇	4
220721103000	乌兰图嘎镇	4
220721104000	查干花镇	4
220721105000	王府站镇	4
220721106000	八郎镇	4
220721107000	哈拉毛都镇	4
220721108000	查干湖镇	4
220721200000	宝甸乡	4
220721201000	平凤乡	4
220721203000	达里巴乡	4
220721204000	吉拉吐乡	4
220721205000	白依拉嘎乡	4
220721206000	洪泉乡	4
220721207000	额如乡	4
220721208000	套浩太乡	4
220721209000	长龙乡	4
220721210000	乌兰塔拉乡	4
220721211000	东三家子乡	4
220721212000	浩特芒哈乡	4
220721213000	乌兰敖都乡	4
220721400000	红旗农场	4
220721401000	红光农场	4
220721402000	红星牧场	4
220721403000	查干花种畜场	4
220721404000	莲花泡农场	4
220721405000	乌兰嘎图林场	4
220721406000	查干花林场	4
220721407000	王府林场	4
220721408000	八郎农场	4
220721409000	查干湖渔场	4
220721410000	韩家店林场	4
220721411000	长山余热鱼苗繁殖场	4
220721412000	库里渔场	4
220721413000	哈拉毛都良种场	4
220721414000	哈拉毛都林场	4
220721415000	新庙泡渔场	4
220721416000	吉林前郭经济开发区特殊乡镇	4
220722000000	长岭县	3
220722100000	长岭镇	4
220722101000	太平川镇	4
220722102000	巨宝山镇	4
220722103000	太平山镇	4
220722104000	前七号镇	4
220722105000	新安镇	4
220722106000	三青山镇	4
220722107000	大兴镇	4
220722108000	北正镇	4
220722109000	流水镇	4
220722110000	永久镇	4
220722111000	利发盛镇	4
220722200000	集体乡	4
220722201000	光明乡	4
220722202000	三县堡乡	4
220722203000	海青乡	4
220722204000	前进乡	4
220722205000	东岭乡	4
220722206000	腰坨子乡	4
220722207000	八十八乡	4
220722208000	三团乡	4
220722209000	三十号乡	4
220722400000	长岭种马场	4
220722401000	长岭县长岭环城工业集中区	4
220722405000	太平川机械林场	4
220722406000	三团机械林场	4
220722407000	东岭机械林场	4
220722408000	十四号种畜场	4
220722409000	良种繁育场	4
220722410000	前七号机械林场	4
220723000000	乾安县	3
220723100000	乾安镇	4
220723101000	大布苏镇	4
220723102000	水字镇	4
220723103000	让字镇	4
220723104000	所字镇	4
220723105000	安字镇	4
220723200000	余字乡	4
220723201000	道字乡	4
220723202000	严字乡	4
220723203000	赞字乡	4
220723400000	国营林场	4
220723401000	腾字种畜场	4
220723402000	大遐畜牧场	4
220723403000	乾安鹿场	4
220723404000	来字良种繁育基地	4
220723405000	地字种畜场	4
220771000000	吉林松原经济开发区	3
220771200000	兴原乡	4
220771599000	松原经济技术开发区特殊乡镇	4
220781000000	扶余市	3
220781001000	和兴街道	4
220781002000	育才街道	4
220781003000	联盟街道	4
220781004000	士英街道	4
220781005000	铁西街道	4
220781100000	三岔河镇	4
220781101000	长春岭镇	4
220781102000	五家站镇	4
220781103000	陶赖昭镇	4
220781104000	蔡家沟镇	4
220781105000	弓棚子镇	4
220781106000	三井子镇	4
220781107000	增盛镇	4
220781108000	新万发镇	4
220781109000	大林子镇	4
220781110000	新源镇	4
220781111000	得胜镇	4
220781200000	三骏满族蒙古族锡伯族乡	4
220781201000	永平乡	4
220781203000	新站乡	4
220781204000	更新乡	4
220781206000	肖家乡	4
220781400000	伊家店农场	4
220781401000	拉林灌区管理局	4
220781402000	下岱吉灌区管理局	4
220800000000	白城市	2
220801000000	市辖区	3
220802000000	洮北区	3
220802001000	海明街道	4
220802002000	长庆街道	4
220802003000	瑞光街道	4
220802004000	明仁街道	4
220802005000	铁东街道	4
220802006000	（工业园区）城南街道	4
220802007000	新立街道	4
220802009000	新华街道	4
220802100000	平安镇	4
220802101000	青山镇	4
220802102000	林海镇	4
220802103000	洮河镇	4
220802104000	平台镇	4
220802105000	到保镇	4
220802170000	（查干浩特旅游经济开发区）岭下镇	4
