500000  重庆市	1
500233000000	忠县	3
500233001000	忠州街道	4
500233002000	白公街道	4
500233003000	乌杨街道	4
500233004000	新生街道	4
500233102000	任家镇	4
500233104000	洋渡镇	4
500233105000	东溪镇	4
500233106000	复兴镇	4
500233107000	石宝镇	4
500233108000	汝溪镇	4
500233109000	野鹤镇	4
500233110000	官坝镇	4
500233111000	石黄镇	4
500233112000	马灌镇	4
500233113000	金鸡镇	4
500233114000	新立镇	4
500233115000	双桂镇	4
500233116000	拔山镇	4
500233117000	花桥镇	4
500233118000	永丰镇	4
500233119000	三汇镇	4
500233120000	白石镇	4
500233122000	黄金镇	4
500233201000	善广乡	4
500233203000	石子乡	4
500233204000	磨子土家族乡	4
500233206000	涂井乡	4
500233208000	金声乡	4
500233210000	兴峰乡	4
500235000000	云阳县	3
500235001000	双江街道	4
500235002000	青龙街道	4
500235003000	人和街道	4
500235004000	盘龙街道	4
500235105000	龙角镇	4
500235107000	故陵镇	4
500235108000	红狮镇	4
500235115000	路阳镇	4
500235116000	农坝镇	4
500235118000	渠马镇	4
500235121000	黄石镇	4
500235122000	巴阳镇	4
500235123000	沙市镇	4
500235124000	鱼泉镇	4
500235125000	凤鸣镇	4
500235127000	宝坪镇	4
500235128000	南溪镇	4
500235129000	双土镇	4
500235130000	桑坪镇	4
500235131000	江口镇	4
500235132000	高阳镇	4
500235133000	平安镇	4
500235135000	云阳镇	4
500235136000	云安镇	4
500235137000	栖霞镇	4
500235138000	双龙镇	4
500235139000	泥溪镇	4
500235140000	蔈草镇	4
500235141000	养鹿镇	4
500235142000	水口镇	4
500235143000	堰坪镇	4
500235144000	龙洞镇	4
500235145000	后叶镇	4
500235146000	耀灵镇	4
500235147000	大阳镇	4
500235208000	外郎乡	4
500235215000	新津乡	4
500235216000	普安乡	4
500235218000	洞鹿乡	4
500235219000	石门乡	4
500235239000	上坝乡	4
500235242000	清水土家族自治乡	4
500236000000	奉节县	3
500236001000	永安街道	4
500236002000	鱼复街道	4
500236003000	夔门街道	4
500236117000	白帝镇	4
500236118000	草堂镇	4
500236119000	汾河镇	4
500236120000	康乐镇	4
500236121000	大树镇	4
500236122000	竹园镇	4
500236123000	公平镇	4
500236124000	朱衣镇	4
500236125000	甲高镇	4
500236126000	羊市镇	4
500236127000	吐祥镇	4
500236128000	兴隆镇	4
500236129000	青龙镇	4
500236130000	新民镇	4
500236131000	永乐镇	4
500236132000	安坪镇	4
500236133000	五马镇	4
500236134000	青莲镇	4
500236265000	岩湾乡	4
500236266000	平安乡	4
500236267000	红土乡	4
500236269000	石岗乡	4
500236270000	康坪乡	4
500236272000	太和土家族乡	4
500236274000	鹤峰乡	4
500236275000	冯坪乡	4
500236276000	长安土家族乡	4
500236277000	龙桥土家族乡	4
500236278000	云雾土家族乡	4
500237000000	巫山县	3
500237001000	高唐街道	4
500237002000	龙门街道	4
500237101000	庙宇镇	4
500237102000	大昌镇	4
500237103000	福田镇	4
500237104000	龙溪镇	4
500237105000	双龙镇	4
500237106000	官阳镇	4
500237107000	骡坪镇	4
500237108000	抱龙镇	4
500237109000	官渡镇	4
500237110000	铜鼓镇	4
500237111000	巫峡镇	4
500237200000	红椿乡	4
500237207000	两坪乡	4
500237208000	曲尺乡	4
500237210000	建平乡	4
500237211000	大溪乡	4
500237214000	金坪乡	4
500237216000	平河乡	4
500237219000	当阳乡	4
500237222000	竹贤乡	4
500237225000	三溪乡	4
500237227000	培石乡	4
500237229000	笃坪乡	4
500237231000	邓家乡	4
500238000000	巫溪县	3
500238001000	宁河街道	4
500238002000	柏杨街道	4
500238100000	城厢镇	4
500238101000	凤凰镇	4
500238102000	宁厂镇	4
500238103000	上磺镇	4
500238104000	古路镇	4
500238105000	文峰镇	4
500238106000	徐家镇	4
500238107000	白鹿镇	4
500238108000	尖山镇	4
500238109000	下堡镇	4
500238110000	峰灵镇	4
500238111000	塘坊镇	4
500238112000	朝阳镇	4
500238113000	田坝镇	4
500238114000	通城镇	4
500238115000	菱角镇	4
500238116000	蒲莲镇	4
500238117000	土城镇	4
500238118000	红池坝镇	4
500238204000	胜利乡	4
500238207000	大河乡	4
500238208000	天星乡	4
500238210000	长桂乡	4
500238226000	鱼鳞乡	4
500238227000	乌龙乡	4
500238237000	花台乡	4
500238239000	兰英乡	4
500238240000	双阳乡	4
500238242000	中梁乡	4
500238243000	天元乡	4
500240000000	石柱土家族自治县	3
500240001000	南宾街道	4
500240002000	万安街道	4
500240003000	下路街道	4
500240101000	西沱镇	4
500240103000	悦崃镇	4
500240104000	临溪镇	4
500240105000	黄水镇	4
500240106000	马武镇	4
500240107000	沙子镇	4
500240108000	王场镇	4
500240109000	沿溪镇	4
500240110000	龙沙镇	4
500240111000	鱼池镇	4
500240112000	三河镇	4
500240113000	大歇镇	4
500240114000	桥头镇	4
500240115000	万朝镇	4
500240116000	冷水镇	4
500240117000	黄鹤镇	4
500240118000	枫木镇	4
500240203000	黎场乡	4
500240204000	三星乡	4
500240205000	六塘乡	4
500240207000	三益乡	4
500240208000	王家乡	4
500240209000	河嘴乡	4
500240210000	石家乡	4
500240213000	中益乡	4
500240214000	洗新乡	4
500240216000	龙潭乡	4
500240217000	新乐乡	4
500240218000	金铃乡	4
500240219000	金竹乡	4
500241000000	秀山土家族苗族自治县	3
500241001000	中和街道	4
500241002000	乌杨街道	4
500241003000	平凯街道	4
500241004000	官庄街道	4
500241102000	清溪场镇	4
500241103000	隘口镇	4
500241104000	溶溪镇	4
500241106000	龙池镇	4
500241107000	石堤镇	4
500241108000	峨溶镇	4
500241109000	洪安镇	4
500241110000	雅江镇	4
500241111000	石耶镇	4
500241112000	梅江镇	4
500241113000	兰桥镇	4
500241114000	膏田镇	4
500241115000	溪口镇	4
500241116000	妙泉镇	4
500241117000	宋农镇	4
500241118000	里仁镇	4
500241119000	钟灵镇	4
500241201000	孝溪乡	4
500241207000	海洋乡	4
500241208000	大溪乡	4
500241211000	涌洞乡	4
500241214000	中平乡	4
500241215000	岑溪乡	4
500242000000	酉阳土家族苗族自治县	3
500242001000	桃花源街道	4
500242002000	钟多街道	4
500242101000	龙潭镇	4
500242102000	麻旺镇	4
500242103000	酉酬镇	4
500242104000	大溪镇	4
500242105000	兴隆镇	4
500242106000	黑水镇	4
500242107000	丁市镇	4
500242108000	龚滩镇	4
500242109000	李溪镇	4
500242110000	泔溪镇	4
500242111000	酉水河镇	4
500242112000	苍岭镇	4
500242113000	小河镇	4
500242114000	板溪镇	4
500242115000	涂市镇	4
500242116000	铜鼓镇	4
500242117000	五福镇	4
500242118000	万木镇	4
500242119000	南腰界镇	4
500242204000	可大乡	4
500242205000	偏柏乡	4
500242207000	木叶乡	4
500242208000	毛坝乡	4
500242209000	花田乡	4
500242210000	后坪乡	4
500242211000	天馆乡	4
500242212000	宜居乡	4
500242214000	两罾乡	4
500242215000	板桥乡	4
500242216000	官清乡	4
500242218000	车田乡	4
500242219000	腴地乡	4
500242220000	清泉乡	4
500242221000	庙溪乡	4
500242222000	浪坪乡	4
500242223000	双泉乡	4
500242224000	楠木乡	4
500243000000	彭水苗族土家族自治县	3
500243001000	汉葭街道	4
500243002000	绍庆街道	4
500243003000	靛水街道	4
500243101000	保家镇	4
500243102000	郁山镇	4
500243103000	高谷镇	4
500243104000	桑柘镇	4
500243105000	鹿角镇	4
500243106000	黄家镇	4
500243107000	普子镇	4
500243108000	龙射镇	4
500243109000	连湖镇	4
500243110000	万足镇	4
500243111000	平安镇	4
500243112000	长生镇	4
500243113000	新田镇	4
500243114000	鞍子镇	4
500243115000	太原镇	4
500243116000	龙溪镇	4
500243117000	梅子垭镇	4
500243118000	大同镇	4
500243201000	岩东乡	4
500243202000	鹿鸣乡	4
500243204000	棣棠乡	4
500243206000	三义乡	4
500243207000	联合乡	4
500243208000	石柳乡	4
500243210000	走马乡	4
500243211000	芦塘乡	4
500243213000	乔梓乡	4
